character,count,percentage
Disney - Mickey Mouse,268235,0.035939%
Disney - Minnie Mouse,154873,0.020750%
Disney - Donald Duck,21721,0.002910%
Disney - Goofy,7519,0.001007%
Disney - Elsa,28150,0.003772%
Disney - Anna,21683,0.002905%
Disney - Simba,24752,0.003316%
Disney - Ariel,14006,0.001877%
Marvel - Spider-Man,265326,0.035549%
Marvel - Iron Man,83369,0.011170%
Marvel - Captain America,102680,0.013757%
Marvel - Hulk,21764,0.002916%
Marvel - Thor,25058,0.003357%
Marvel - Black Widow,8774,0.001176%
Star Wars - Darth Vader,39764,0.005328%
Star Wars - Luke Skywalker,5884,0.000788%
Star Wars - Yoda,17897,0.002398%
Star Wars - R2-D2,17608,0.002359%
Pixar - Buzz Lightyear,9979,0.001337%
Pixar - Woody,1758,0.000236%
Pixar - Lightning McQueen,12143,0.001627%
DC - Superman,117868,0.015792%
DC - Batman,157854,0.021150%
DC - Wonder Woman,64966,0.008704%
DC - Joker,12147,0.001627%
DC - Harley Quinn,46500,0.006230%
Warner - Bugs Bunny,16518,0.002213%
Warner - Scooby-Doo,40458,0.005421%
Nickelodeon - SpongeBob,34858,0.004670%
Nickelodeon - Patrick Star,5866,0.000786%
Nickelodeon - Teenage Mutant Ninja Turtles,31718,0.004250%
Nickelodeon - Dora,6039,0.000809%
Nintendo - Mario,78367,0.010500%
Nintendo - Luigi,25534,0.003421%
Nintendo - Princess Peach,5210,0.000698%
Nintendo - Bowser,5554,0.000744%
Nintendo - Pikachu,40959,0.005488%
Nintendo - Pokemon,260311,0.034877%
Nintendo - Link,9142,0.001225%
Nintendo - Zelda,48170,0.006454%
Sega - Sonic,46879,0.006281%
Sega - Tails,5517,0.000739%
Sega - Knuckles,3478,0.000466%
Universal - Minions,128094,0.017162%
Universal - Gru,2836,0.000380%
DreamWorks - Shrek,10690,0.001432%
DreamWorks - Donkey,789,0.000106%
DreamWorks - Kung Fu Panda,43468,0.005824%
