character,count,percentage
Disney - Mickey Mouse,451402,0.032541%
Disney - Minnie Mouse,322463,0.023246%
Disney - Donald Duck,81155,0.005850%
Disney - Goofy,18162,0.001309%
Disney - Elsa,73721,0.005314%
Disney - Anna,45835,0.003304%
Disney - Simba,62289,0.004490%
Disney - Ariel,48362,0.003486%
Marvel - Spider-Man,718250,0.051778%
Marvel - Iron Man,311634,0.022465%
Marvel - Captain America,242567,0.017486%
Marvel - Hulk,82497,0.005947%
Marvel - Thor,64732,0.004666%
Marvel - Black Widow,11770,0.000848%
Star Wars - Darth Vader,158966,0.011460%
Star Wars - Luke Skywalker,41592,0.002998%
Star Wars - Yoda,42442,0.003060%
Star Wars - R2-D2,63437,0.004573%
Pixar - Buzz Lightyear,44636,0.003218%
Pixar - Woody,23058,0.001662%
Pixar - Lightning McQueen,53210,0.003836%
DC - Superman,512143,0.036920%
DC - Batman,945268,0.068143%
DC - Wonder Woman,193370,0.013940%
DC - Joker,72821,0.005250%
DC - Harley Quinn,107473,0.007748%
Warner - Bugs Bunny,36152,0.002606%
Warner - Scooby-Doo,72929,0.005257%
Nickelodeon - SpongeBob,149075,0.010747%
Nickelodeon - Patrick Star,14812,0.001068%
Nickelodeon - Teenage Mutant Ninja Turtles,104265,0.007516%
Nickelodeon - Dora,37858,0.002729%
Nintendo - Mario,245021,0.017663%
Nintendo - Luigi,112607,0.008118%
Nintendo - Princess Peach,23767,0.001713%
Nintendo - Bowser,9397,0.000677%
Nintendo - Pikachu,139288,0.010041%
Nintendo - Pokemon,413266,0.029792%
Nintendo - Link,57229,0.004126%
Nintendo - Zelda,244003,0.017590%
Sega - Sonic,68247,0.004920%
Sega - Tails,9062,0.000653%
Sega - Knuckles,6522,0.000470%
Universal - Minions,269094,0.019399%
Universal - Gru,5988,0.000432%
DreamWorks - Shrek,59356,0.004279%
DreamWorks - Donkey,2198,0.000158%
DreamWorks - Kung Fu Panda,112638,0.008120%
