character,count,percentage
Disney - Mickey Mouse,804838,0.037121%
Disney - Minnie Mouse,542411,0.025017%
Disney - Donald Duck,69870,0.003223%
Disney - Goofy,24839,0.001146%
Disney - Elsa,136595,0.006300%
Disney - Anna,98127,0.004526%
Disney - Simba,119363,0.005505%
Disney - Ariel,45868,0.002116%
Marvel - Spider-Man,1168537,0.053895%
Marvel - Iron Man,453026,0.020894%
Marvel - Captain America,454378,0.020957%
Marvel - Hulk,112559,0.005191%
Marvel - Thor,115552,0.005329%
Marvel - Black Widow,33888,0.001563%
Star Wars - Darth Vader,206184,0.009510%
Star Wars - Luke Skywalker,52417,0.002418%
Star Wars - Yoda,66798,0.003081%
Star Wars - R2-D2,99873,0.004606%
Pixar - Buzz Lightyear,51855,0.002392%
Pixar - Woody,55299,0.002551%
Pixar - Lightning McQueen,54378,0.002508%
DC - Superman,714951,0.032975%
DC - Batman,1349013,0.062219%
DC - Wonder Woman,285477,0.013167%
DC - Joker,88736,0.004093%
DC - Harley Quinn,120978,0.005580%
Warner - Bugs Bunny,32250,0.001487%
Warner - Scooby-Doo,115962,0.005348%
Nickelodeon - SpongeBob,147254,0.006792%
Nickelodeon - Patrick Star,11994,0.000553%
Nickelodeon - Teenage Mutant Ninja Turtles,216280,0.009975%
Nickelodeon - Dora,47272,0.002180%
Nintendo - Mario,422196,0.019473%
Nintendo - Luigi,139964,0.006455%
Nintendo - Princess Peach,20860,0.000962%
Nintendo - Bowser,19236,0.000887%
Nintendo - Pikachu,181138,0.008354%
Nintendo - Pokemon,1028602,0.047441%
Nintendo - Link,67338,0.003106%
Nintendo - Zelda,312612,0.014418%
Sega - Sonic,122600,0.005655%
Sega - Tails,16834,0.000776%
Sega - Knuckles,13624,0.000628%
Universal - Minions,507551,0.023409%
Universal - Gru,8372,0.000386%
DreamWorks - Shrek,69407,0.003201%
DreamWorks - Donkey,3910,0.000180%
DreamWorks - Kung Fu Panda,170272,0.007853%
