metric,COYO-700M_count,COYO-700M_pct,ReLAION-2B_count,ReLAION-2B_pct,DataComp-1B_count,DataComp-1B_pct
Getty Images,938911,0.125798%,2526794,0.116541%,817564,0.058937%
Shutterstock,162006,0.021706%,2038870,0.094037%,1412450,0.101822%
Reuters,418574,0.056082%,1366187,0.063011%,568844,0.041007%
Associated Press,638191,0.085507%,3787179,0.174672%,1144757,0.082524%
AFP,143750,0.019260%,363229,0.016753%,140494,0.010128%
Alamy,59567,0.007981%,250828,0.011569%,179983,0.012975%
iStock,98362,0.013179%,338862,0.015629%,229388,0.016536%
Adobe Stock,14501,0.001943%,17949,0.000828%,12560,0.000905%
123RF,6586,0.000882%,17576,0.000811%,17855,0.001287%
Dreamstime,18944,0.002538%,42104,0.001942%,26355,0.001900%
Copyright Symbol ©,1874975,0.251215%,5165728,0.238254%,3115839,0.224618%
Copyright Text,428126,0.057362%,1216970,0.056129%,674935,0.048655%
All Rights Reserved,167520,0.022445%,488043,0.022510%,204913,0.014772%
