metric,COYO-700M_count,COYO-700M_pct,ReLAION-2B_count,ReLAION-2B_pct,DataComp-1B_count,DataComp-1B_pct
Disney - Mickey Mouse,268235,0.035939%,804838,0.037121%,451402,0.032541%
Disney - Minnie Mouse,154873,0.020750%,542411,0.025017%,322463,0.023246%
Disney - Donald Duck,21721,0.002910%,69870,0.003223%,81155,0.005850%
Disney - Goofy,7519,0.001007%,24839,0.001146%,18162,0.001309%
Disney - Elsa,28150,0.003772%,136595,0.006300%,73721,0.005314%
Disney - Anna,21683,0.002905%,98127,0.004526%,45835,0.003304%
Disney - Simba,24752,0.003316%,119363,0.005505%,62289,0.004490%
Disney - Ariel,14006,0.001877%,45868,0.002116%,48362,0.003486%
Marvel - Spider-Man,265326,0.035549%,1168537,0.053895%,718250,0.051778%
Marvel - Iron Man,83369,0.011170%,453026,0.020894%,311634,0.022465%
Marvel - Captain America,102680,0.013757%,454378,0.020957%,242567,0.017486%
Marvel - Hulk,21764,0.002916%,112559,0.005191%,82497,0.005947%
Marvel - Thor,25058,0.003357%,115552,0.005329%,64732,0.004666%
Marvel - Black Widow,8774,0.001176%,33888,0.001563%,11770,0.000848%
Star Wars - Darth Vader,39764,0.005328%,206184,0.009510%,158966,0.011460%
Star Wars - Luke Skywalker,5884,0.000788%,52417,0.002418%,41592,0.002998%
Star Wars - Yoda,17897,0.002398%,66798,0.003081%,42442,0.003060%
Star Wars - R2-D2,17608,0.002359%,99873,0.004606%,63437,0.004573%
Pixar - Buzz Lightyear,9979,0.001337%,51855,0.002392%,44636,0.003218%
Pixar - Woody,1758,0.000236%,55299,0.002551%,23058,0.001662%
Pixar - Lightning McQueen,12143,0.001627%,54378,0.002508%,53210,0.003836%
DC - Superman,117868,0.015792%,714951,0.032975%,512143,0.036920%
DC - Batman,157854,0.021150%,1349013,0.062219%,945268,0.068143%
DC - Wonder Woman,64966,0.008704%,285477,0.013167%,193370,0.013940%
DC - Joker,12147,0.001627%,88736,0.004093%,72821,0.005250%
DC - Harley Quinn,46500,0.006230%,120978,0.005580%,107473,0.007748%
Warner - Bugs Bunny,16518,0.002213%,32250,0.001487%,36152,0.002606%
Warner - Scooby-Doo,40458,0.005421%,115962,0.005348%,72929,0.005257%
Nickelodeon - SpongeBob,34858,0.004670%,147254,0.006792%,149075,0.010747%
Nickelodeon - Patrick Star,5866,0.000786%,11994,0.000553%,14812,0.001068%
Nickelodeon - Teenage Mutant Ninja Turtles,31718,0.004250%,216280,0.009975%,104265,0.007516%
Nickelodeon - Dora,6039,0.000809%,47272,0.002180%,37858,0.002729%
Nintendo - Mario,78367,0.010500%,422196,0.019473%,245021,0.017663%
Nintendo - Luigi,25534,0.003421%,139964,0.006455%,112607,0.008118%
Nintendo - Princess Peach,5210,0.000698%,20860,0.000962%,23767,0.001713%
Nintendo - Bowser,5554,0.000744%,19236,0.000887%,9397,0.000677%
Nintendo - Pikachu,40959,0.005488%,181138,0.008354%,139288,0.010041%
Nintendo - Pokemon,260311,0.034877%,1028602,0.047441%,413266,0.029792%
Nintendo - Link,9142,0.001225%,67338,0.003106%,57229,0.004126%
Nintendo - Zelda,48170,0.006454%,312612,0.014418%,244003,0.017590%
Sega - Sonic,46879,0.006281%,122600,0.005655%,68247,0.004920%
Sega - Tails,5517,0.000739%,16834,0.000776%,9062,0.000653%
Sega - Knuckles,3478,0.000466%,13624,0.000628%,6522,0.000470%
Universal - Minions,128094,0.017162%,507551,0.023409%,269094,0.019399%
Universal - Gru,2836,0.000380%,8372,0.000386%,5988,0.000432%
DreamWorks - Shrek,10690,0.001432%,69407,0.003201%,59356,0.004279%
DreamWorks - Donkey,789,0.000106%,3910,0.000180%,2198,0.000158%
DreamWorks - Kung Fu Panda,43468,0.005824%,170272,0.007853%,112638,0.008120%
